 RNO,ID,TI,Author Keywords,Keywords Plus
16,2049699,Truthful and Near-Optimal Mechanism Design via Linear Programming,Theory; Algorithms; Economics; Combinatorial auction; truthful and computationally-efficient mechanisms,PACKING INTEGER PROGRAMS; AUCTIONS
17,2027217,Smoothed Analysis of the k-Means Method,Algorithms; Theory; Data clustering; k-means method; smoothed analysis,BREGMAN DIVERGENCES; POLYNOMIAL-TIME; ALGORITHM; APPROXIMATION
18,2027221,Deterministic Distributed Vertex Coloring in Polylogarithmic Time,Algorithms; Arboricity; arbdefective coloring; partial orientation,INDEPENDENT SET PROBLEM; PARALLEL ALGORITHM
19,2027219,Approximation Schemes for Steiner Forest on Planar Graphs and Graphs of Bounded Treewidth,Algorithms; Design; Performance; Theory; Approximation algorithm; bounded-treewidth; dynamic programming; network design; planar graph; PTAS; series-parallel graph; Steiner forest,PRECOLORING EXTENSION; TREE PROBLEM; ALGORITHMS
20,2027218,Hardness of Approximating Flow and Job Shop Scheduling Problems,Algorithms; Theory; Job shop scheduling; hardness of approximation; machine scheduling,MAKESPAN MINIMIZATION; ALGORITHMS; BOUNDS; TIME
21,1989731,XPath Evaluation in Linear Time,Algorithms; Languages; Theory; Tree with data; XML; XPath,ALGORITHMS
22,1989728,Online Geometric Reconstruction,Algorithms; Theory; Computational geometry; sublinear algorithms,
23,1989729,Probabilistic Data Exchange,Theory; Data exchange; data integration; probabilistic database; probabilistic schema mapping; probabilistic solution; universal probabilistic solution; conjunctive query; certain answer; computational complexity,DEPENDENCIES; APPROXIMATION; INTEGRATION; INFORMATION; ALGORITHMS; DATABASES; HARD
24,1989732,Breaking the O(n(2)) Bit Barrier: Scalable Byzantine Agreement with an Adaptive Adversary,Theory; Byzantine agreement; consensus; Samplers; Peer-to-peer; secret-sharing; Monte Carlo Algorithms; distributed computing,FAULT-TOLERANCE; NETWORKS
25,1989730,Invited Articles Foreword,,
26,1970397,Estimating PageRank on Graph Streams,Algorithms; Theory; Algorithms; graph conductance; mixing time; PageRank; random walk; streaming algorithms,
27,1970395,Robust Principal Component Analysis?,Algorithms; Theory; Principal components; robustness vis-a-vis outliers; nuclear-norm minimization; l(1)-norm minimization; duality; low-rank matrices; sparsity; video surveillance,MATRIX COMPLETION; DIMENSIONALITY REDUCTION; RANK; L(1)-MINIMIZATION; APPROXIMATION; MINIMIZATION; ALGORITHMS
28,1970393,On the Competitive Ratio of Evaluating Priced Functions,Algorithms; Theory; function evaluation; monotone Boolean functions; competitive analysis; priced information,GAME TREES; INFORMATION; OPTIMIZATION; STRATEGIES; ALGORITHM; COSTS
29,1970394,"Market Equilibrium under Separable, Piecewise-Linear, Concave Utilities",Algorithms; Economics; Theory; Market equilibria; piecewise-linear utilities; Arrow-Debreu market; Fisher market; PPAD,FIXED-POINTS; COMPLEXITY; EXISTENCE; APPROXIMATION
30,1944348,Dynamic Atomic Storage without Consensus,Algorithms; Design; Reliability; Theory; Shared-memory emulations; dynamic systems; atomic storage,MEMORY
31,1944347,Delaunay Triangulations in O(sort(n)) Time and More,Algorithms; Theory; Convex hull; Delaunay triangulation; word RAM,CLOSEST-POINT PROBLEMS; COMPUTATIONAL GEOMETRY; LINEAR-TIME; VORONOI DIAGRAMS; EXPECTED-TIME; ALGORITHMS; LOCATION; DECOMPOSITION; TREES; SPACE
32,1944349,Randomized Algorithms for Estimating the Trace of an Implicit Symmetric Positive Semi-Definite Matrix,Algorithms; Trace estimation; implicit linear operators,MAXIMUM-ENTROPY; BOUNDS; MOMENTS; SYSTEMS; STATES
33,1944346,On P vs. NP and Geometric Complexity Theory,Theory; Geometric complexity theory; P; NP,LOWER BOUNDS; MODEL
34,1870107,XML with Incomplete Information,Theory; Languages; Algorithms; XML; incomplete information; query answering; certain answers; consistency; membership,CONJUNCTIVE QUERIES; COMPLEXITY; TREES; EXPRESSIVENESS; ALGORITHMS; DATABASES; DOCUMENTS; SCHEMA
35,1870106,Approximation Algorithms for Restless Bandit Problems,Algorithms; Theory; Approximation algorithms; stochastic control; multi-armed bandits; restless bandits,INDEX POLICY; EXPERT ADVICE; COSTS; RELAXATIONS; SYSTEMS
36,1870104,Invited Articles Section Foreword,,
37,1870105,Epistemic Privacy,Algorithms; Security; Theory; Auditing; disclosure; privacy; query logs; reasoning about knowledge; supermodularity; Positivstellensatz,QUANTIFIER ELIMINATION; POLYNOMIAL FUNCTIONS; GLOBAL MINIMUM; ALGORITHM; SETS
38,1857917,Newtonian Program Analysis,Languages; Theory; Verification; Newton's method; polynomial fixed-point equations; interprocedural program analysis; semirings,PROBABILISTIC PUSHDOWN-AUTOMATA; DATA-FLOW ANALYSIS; FIXED-POINT; SEMIRINGS; SYSTEMS
39,1857915,The Structure of Inverses in Schema Mappings,Algorithms; Theory; Schema mapping; data exchange; data integration; model management; inverse; chase; dependencies; essential conjunction; essential atom,
40,1857918,Limitations of Quantum Coset States for Graph Isomorphism,Algorithms; Theory; Graph isomorphism; hidden subgroup problem; quantum algorithms; quantum computation,HIDDEN SUBGROUP PROBLEM; ALGORITHMS; COMPUTATION; COMPUTER
41,1857916,A Random-Sampling-Based Algorithm for Learning Intersections of Halfspaces,Algorithms; Intersections of halfspaces; random projection; PAC learning; complexity,GEOMETRIC CONCEPTS
42,1754401,Polylogarithmic Independence Fools AC(0) Circuits,Theory; Circuit complexity; pseudorandomness; polynomial approximations; lower bounds,DEPTH CIRCUITS
43,1754400,Multiobjective A* Search with Consistent Heuristics,Algorithms; Consistent heuristics; multiobjective search; optimality,PATHS
44,1754402,Two-Query PCP with Subconstant Error,Theory; Probabilistically checkable proofs (PCP); label cover; composition; locally decode/reject code (LDRC),LOCALLY DECODABLE CODES; THEOREM; HARDNESS; LENGTH; PROOF
45,1754403,Reconciling Description Logics and Rules,Theory; Description logics; answer set programming; combined complexity; data complexity,SEMANTIC WEB; KNOWLEDGE REPRESENTATION; MINIMAL BELIEF; DISJUNCTIVE DATALOG; EXPRESSIVE POWER; COMPLEXITY; NEGATION; FAILURE; OWL; CIRCUMSCRIPTION
46,1734220,An Axiomatic Approach to Personalized Ranking Systems,Algorithms; Economics; Theory; Axiomatic approach; manipulation; ranking systems; social networks,VOTING PROCEDURES
47,1734214,"Simulating Independence: New Constructions of Condensers, Ramsey Graphs, Dispersers, and Extractors",Theory; Condensers; Dispersers; Explicit constructions; Extractors; Ramsey graphs,RANDOMNESS; COMPLEXITY; EXPANDERS; PRODUCT
48,1734215,Ultra-Low-Dimensional Embeddings for Doubling Metrics,Algorithms; Theory; Metric spaces; Euclidean embedding; dimension reduction,LOCAL LEMMA; SPACES; LINDENSTRAUSS; JOHNSON; GRAPHS
49,1734217,Set Constraints with Projections,Algorithms; Theory; Computational complexity; program analysis; set constraints,FRAGMENT
50,1734218,Finding a Maximum Matching in a Sparse Random Graph in O(n) Expected Time,Algorithms; Theory; Random graphs; matching,ALGORITHMS
51,1734216,Tight Failure Detection Bounds on Atomic Object Implementations,Algorithms; Theory; Reliability; Atomic objects; failure detection,CONSENSUS; SYSTEMS
52,1734219,Routing Betweenness Centrality,Algorithms; Measurement; Betwenness; centrality; communication networks; probabilistic routing,COMPLEX NETWORKS; FLOW; ALGORITHM; TOPOLOGY
53,1706594,Amplifying Lower Bounds by Means of Self-Reducibility,Theory; Circuit complexity; lower bounds; natural proofs; self-reducibility; time-space tradeoffs,CIRCUIT COMPLEXITY; THRESHOLD CIRCUITS; CHROMATIC NUMBER; FORMULAS; SIZE; COMPUTATION; CLIQUE; SPACE; NC1
54,1706599,A Discriminative Model for Semi-Supervised Learning,Algorithms; Theory; Machine learning; semi-supervised learning; value of unlabeled data; sample complexity; cover bounds; uniform convergence bounds; structural risk minimization (SRM); data dependent SRM; efficient learning algorithms; multi-view classification; co-training,STRUCTURAL RISK MINIMIZATION; UNLABELED DATA; CLASSIFICATION; LEARNABILITY; SAMPLES; BOUNDS
55,1706593,"Eigenvalue Bounds, Spectral Partitioning, and Metrical Deformations via Flows",Algorithms; Theory; Metric embeddings; network flows; spectral graph theory,SEPARATOR THEOREM; GRAPHS; PACKINGS; GENUS
56,1706596,A Dynamic Data Structure for 3-D Convex Hulls and 2-D Nearest Neighbor Queries,Algorithms; Theory; Computational geometry; nearest neighbor search; convex hulls; dynamic data structures,3 DIMENSIONS; K-SETS; MAINTENANCE; CONSTRUCTION; OPTIMIZATION; ALGORITHMS; EXTREMA
57,1706597,Improved Bounds and New Techniques for Davenport-Schinzel Sequences and Their Generalizations,Theory; Davenport-Schinzel sequence; inverse Ackermann function; lower envelope,CONJECTURE; LENGTH
58,1706595,Geometric Suffix Tree: Indexing Protein 3-D Structures,Algorithms; Suffix tree; protein 3-D structure; root mean square deviation,RELATE 2 SETS; CONSTRUCTION; PATTERNS; ROTATION; VECTORS
59,1706598,"Transitive Closure Logic, Nested Tree Walking Automata, and XPath",Languages; Theory; Transitive closure logic; tree automata; XPath,
60,1706592,JACM at the Start of a New Decade,,
61,1667056,The Nested Chinese Restaurant Process and Bayesian Nonparametric Inference of Topic Hierarchies,Algorithms; Experimentation; Bayesian nonparametric statistics; unsupervised learning,DIRICHLET PROCESS MODELS; DISTRIBUTIONS; MIXTURES
62,1667058,The Complexity of Temporal Constraint Satisfaction Problems,Algorithms; Theory; Logic; algorithms; complexity; constraints,ALLENS INTERVAL ALGEBRA; SET
63,1667059,The Next 700 Data Description Languages,Design; Languages; Theory; Parsing; data-dependent grammars; context-sensitive grammars; ad hoc data formats; data processing; dependent types; data description languages; domain-specific languages; PADS,SYNTAX
64,1667055,Schema Mapping Discovery from Data Instances,Languages; Theory; Schema mapping; instance; complexity; match; data exchange,
65,1667054,Linear-Time Approximation Schemes for Clustering Problems in Any Dimensions,Algorithms; Theory,
66,1667057,Tight Bounds for Clock Synchronization,Algorithms; Theory; Bounded rates; global skew; gradient property; local skew; variable clock drifts; worst-case analysis,
67,1667060,A Constructive Proof of the General Lovasz Local Lemma,Algorithms; Constructive proof; Lovasz local lemma; parallelization,
68,1613677,Space-Time Tradeoffs for Approximate Nearest Neighbor Searching,Algorithms; Theory; Nearest neighbor searching; space-time tradeoffs,MULTIDIMENSIONAL POINT SETS; DIMENSIONAL SPACES; TREES; QUERIES
69,1613678,On the Union of Fat Tetrahedra in Three Dimensions,Algorithms; Theory; Union of simply-shaped bodies; (1/r)-cuttings; curve-sensitive cuttings; hierarchical decomposition of convex polytopes,OBJECTS; COMPLEXITY; TRIANGLES; GEOMETRY
70,1613680,"Compressing and Indexing Labeled Trees, with Applications",Algorithms; Design; Experimentation; Theory; Burrows-Wheeler transform; labeled tree compression; labeled tree indexing; path searching; tree navigation; XML compression; XML indexing,SUCCINCT REPRESENTATIONS; SPACE REQUIREMENT; XML
71,1613679,Efficient and Secure Authenticated Key Exchange Using Weak Passwords,Security; Theory; Authentication; cryptography; passwords,ATTACKS; SCHEMES; CRYPTOGRAPHY; GENERATION; PROTOCOLS; CHANNELS; DESIGN
72,1568320,Generalized Hypertree Decompositions: NP-Hardness and Tractable Variants,Algorithms; Theory; Conjunctive query; hypergraph; acyclic; NP-complete; hypertree decomposition; tractable; TreeProjection Problem,CONSTRAINT SATISFACTION; SANDWICH PROBLEMS; TREE PROJECTIONS; QUERIES; WIDTH; GRAPH; ALGORITHMS; COMPLEXITY; MARSHALS
73,1568323,A Property of Quantum Relative Entropy with an Application to Privacy in Quantum Communication,Theory; Privacy; quantum communication complexity; quantum information theory,COMPLEXITY; INFORMATION; STATE
74,1568322,Triangulation and Embedding Using Small Sets of Beacons,Algorithms; Theory; Distributed algorithms; doubling dimension; embeddings; metric spaces; triangulation,DISTANCE ESTIMATION; METRIC-SPACES; LOCATION; SERVICE; GRAPHS
75,1568324,"On Lattices, Learning with Errors, Random Linear Codes, and Cryptography",Algorithms; Theory; Lattice; cryptography; quantum computation; public key encryption; average-case hardness,REDUCTION; HARDNESS
76,1568321,The Complexity of Query Containment in Expressive Fragments of XPath 2.0,Languages; Algorithms; XML; XPath; containment; satisfiability; complexity,CONSTRAINTS; LOGIC
77,1552288,On Approximating the Ideal Random Access Machine by Physical Machines,Algorithms; Performance; Theory; Physical constraints on machines; pipelined hierarchical memory; speculative processors,COMPUTATION; MEMORY; MODEL; HIERARCHIES
78,1552287,On the Expressiveness and Complexity of Randomization in Finite State Monitors,Languages; Security; Theory; Verification; Omega automata; runtime verification; randomization; probabilistic automata; topology,PROBABILISTIC AUTOMATA; STOCHASTIC-SYSTEMS
79,1552286,A Measure & Conquer Approach for the Analysis of Exact Algorithms,Algorithms; Theory; Dominating set; exact algorithm; independent set,MAXIMUM INDEPENDENT SET; CASE UPPER-BOUNDS; NP-HARD PROBLEMS; LOCAL SEARCH; K-SAT; TIME; CLIQUE; 3-SAT
80,1552289,A Unified Approach to Scheduling on Unrelated Parallel Machines,Algorithms; Theory; Approximation algorithms; randomized rounding; scheduling under multiple criteria,DEPENDENT PROCESSING TIMES; ALL-NORM APPROXIMATION; ALGORITHMS
81,1538905,"On the Bias of Traceroute Sampling: or, Power-Law Degree Distributions in Regular Graphs",Measurement; Reliability; Theory; Internet topology; traceroute; sampling bias,INTERNET TOPOLOGY; DEGREE SEQUENCE; NETWORKS; EXPLORATION; PRINCIPLES
82,1538908,The Complexity of Obstruction-Free Implementations,Algorithms; Theory; Shared memory; solo-fast implementations; perturbable objects; step contention; memory contention; lower bounds,SHARED-MEMORY; SYNCHRONIZATION; ALGORITHMS; CONTENTION; CONSENSUS; TIME
83,1538904,Unbalanced Expanders and Randomness Extractors from Parvaresh-Vardy Codes,Theory; Algorithms; Expander graphs; randomness extractors; error-correcting codes; list decoding; condensers,PSEUDORANDOM GENERATORS; ERROR-CORRECTION; REED-SOLOMON; GRAPHS; SUPERCONCENTRATORS; CONSTRUCTIONS; SPACE
84,1538903,Graph Partitioning using Single Commodity Flows,Algorithms; Theory; Edge-separator; single commodity max-flow; sparse cut; spectral method,ALGORITHM
85,1538906,Empirical Hardness Models: Methodology and a Case Study on Combinatorial Auctions,Design; Economics; Experimentation; Measurement; Performance; Empirical analysis of algorithms; algorithm portfolios; combinatorial auctions; runtime prediction,LOWER BOUNDS; ALGORITHM PORTFOLIOS; WINNER DETERMINATION; SAT; SATISFIABILITY; REGRESSION; THRESHOLD; COMPLEXITY; SELECTION; FORMULAS
86,1538907,Quantifying Inefficiency in Cost-Sharing Mechanisms,Algorithms; Economics; Theory; Mechanism design; cost sharing; inefficiency; submodular functions; Steiner tree,FACILITY LOCATION GAMES; NETWORK DESIGN; APPROXIMATION; ALGORITHMS; EFFICIENCY
87,1516518,Adding Nesting Structure to Words,Theory; Verification; Pushdown automata; software model checking; tree automata; XML processing,INPUT-DRIVEN LANGUAGES; PUSHDOWN GAMES; PROGRAMS
88,1516515,Two-Variable Logic on Data Trees and XML Reasoning,Algorithms; Design; Languages; Theory; Integrity constraints; DTDs; XML; consistency; implications,UNRANKED TREES; 2 VARIABLES; AUTOMATA; COMPLEXITY; LANGUAGES; DTDS
89,1516516,Settling the Complexity of Computing Two-Player Nash Equilibria,Algorithms; Economics; Theory; Two-player game; Nash equilibrium; Brouwer's fixed point; PPAD-completeness; smoothed analysis; Lemke-Howson algorithm; Sperner's lemma; Arrow-Debreu market,POLYNOMIAL-TIME; ALGORITHM; GAMES; EXISTENCE; POINTS
90,1516514,Lower Bounds for Processing Data with Few Random Accesses to External Memory,Theory; Languages; Complexity; data streams; real-time data; query processing; query optimization; semi-structured data; XML,REVERSAL COMPLEXITY
91,1516519,Improved Bounds on the Average Length of Longest Common Subsequences,Algorithms; Experimentation; Theory; Longest common subsequences; average-case analysis; dynamic programming; Arratia-Steele conjecture,EXPECTED LENGTH; SEQUENCES
92,1516517,A Quasi-Polynomial Time Approximation Scheme for Minimum Weight Triangulation,Algorithms; Theory; Minimum weight triangulation; approximation algorithms,
93,1516520,Adaptive Simulated Annealing: A Near-Optimal Connection between Sampling and Counting,Algorithms; Theory; Counting; Markov chain Monte Carlo; simulated annealing,CONVEX-BODIES; COMBINATORIAL STRUCTURES; VOLUME ALGORITHM; RANDOM-WALKS; PERMANENT
94,1516513,Introduction to PODS 2006 Special Section,,
95,1502794,"Expander Flows, Geometric Embeddings and Graph Partitioning",Algorithms; Theory; Graph partitioning; semidefinite programs; graph separators; multicommodity flows; expansion; expanders,APPROXIMATION RATIO; CUT; EXPANSION
96,1502796,The Gene Evolution Model and Computing Its Associated Probabilities,Algorithms; Theory; Phylogeny; gene; evolution; probability; duplication; loss; reconciliation,DNA-SEQUENCES; MOLECULAR PHYLOGENIES; SIGNED PERMUTATIONS; MAXIMUM-LIKELIHOOD; TREE DISTRIBUTIONS; SPECIES TREES; INFERENCE; INCONGRUENCE; ALGORITHMS; ORTHOLOGS
97,1502798,An O(n log n) Algorithm for Maximum st-Flow in a Directed Planar Graph,Algorithms; Maximum flow; planar graphs,SHORTEST PATHS; NETWORKS; TIME
98,1502795,Polynomial Flow-Cut Gaps and Hardness of Directed Cut Problems,Algorithms; Theory; Directed multicut; sparsest cut; hardness of approximation,SPARSEST-CUT; MULTICUT
99,1502799,Permuting Streaming Data Using RAMs,Algorithms; Design; Theory; Performance; Permutation; RAM; streaming datapath; stride permutation; matrix transposition; data reordering; linear bit mapping; connection network; switch,NETWORKS; ALGORITHMS; ARRAY
100,1502797,Multi-Linear Formulas for Permanent and Determinant Are of Super-Polynomial Size,Theory; lower bounds; arithmetic formulas; algebraic complexity; circuit complexity,ARITHMETIC CIRCUITS; LOWER BOUNDS; FIELDS
101,1462157,Single-Value Combinatorial Auctions and Algorithmic Implementation in Undominated Strategies,Theory; Algorithms; Economics; Combinatorial auctions; incentives; mechanism design; undominated strategies,
102,1462154,"Recursive Markov Chains, Stochastic Grammars, and Monotone Systems of Nonlinear Equations",Algorithms; Theory; Verification; Recursive Markov chains; multi-type branching processes; stochastic context-free grammars; monotone nonlinear systems; Newton's method,PROBABILISTIC PUSHDOWN-AUTOMATA; MODEL CHECKING; STATE MACHINES; COMPLEXITY
103,1462155,The Complexity of Online Memory Checking,Security; Theory; Memory checking; authentication,PRIVATE INFORMATION-RETRIEVAL; CODES; CONSTRUCTIONS
104,1462156,Evolvability,Algorithms; Theory; Evolvable; PAC learning; SQ learning,MAMMALIAN GENOMES; LIMITATIONS; MUTATION; EXAMPLES; RATES
105,1455252,Weak epsilon-Nets and Interval Chains,Interval chain; inverse Ackermann function; moment curve; weak epsilon-net,CIRCUITS; SETS
106,1455251,Almost-Tight Hardness of Directed Congestion Minimization,Hardness of approximation; undirected graphs; congestion minimization,ALGORITHMS
107,1455250,Linear-Time Disk-Based Implicit Graph Search,External memory; magnetic disk storage; Towers of Hanoi; sliding-tile puzzles; Rubik's Cube; permutation encodings,PATTERN DATABASES; EXTERNAL-MEMORY
108,1455249,On the Impact of Combinatorial Structure on Congestion Games,Congestion games; convergence; local search; Nash equilibria,LOCAL SEARCH
109,1411513,Aggregating Inconsistent Information: Ranking and Clustering,Algorithms; Theory; Rank aggregation; consensus clustering; correlation clustering; minimum feedback arc-set; tournaments,ALGORITHM; APPROXIMATION; TOURNAMENTS; SETS
110,1411510,Tight Bounds for Asynchronous Randomized Consensus,Algorithms; Theory; Distributed computing; shared-memory; lower bound; randomized algorithms; isoperimetric inequality,TIME
111,1411514,Random Sampling from a Search Engine's Index,Measurement; Algorithms; Benchmarks; sampling; search engines; size estimation,WORLD-WIDE-WEB; PERFORMANCE; INFORMATION
112,1411511,A Fixed-Parameter Algorithm for the Directed Feedback Vertex Set Problem,Algorithms; Theory; Deadlock; feedback vertex set; parameterized computation,KERNEL
113,1411512,Market Equilibrium via a Primal-Dual Algorithm for a Convex Program,Algorithms; Economics; Market equilibria; primal-dual algorithms,COMPLEXITY; EXISTENCE
114,1391290,The approximability of MAX CSP with fixed-value constraints,algorithms; theory; complexity of approximation; dichotomy; maximum constraint satisfaction; Monge properties; supermodularity,MINIMIZING SUBMODULAR FUNCTIONS; DICHOTOMY THEOREM; COMBINATORIAL ALGORITHM; SUPERMODULAR FUNCTIONS; SATISFACTION PROBLEMS; ARBITRARY WEIGHTS; COMPLEXITY; OPTIMIZATION; SUBMATRICES; GRAPHS
115,1391293,"Semantic subtyping: dealing set-theoretically with function, union, intersection, and negation types",languages; theory; subtyping; union types; intersection types; negation types; higherorder functions,CALCULUS; MODEL
116,1391291,Undirected connectivity in log-space,algorithms; theory; derandomization; pseudorandom generator; bounded space algorithms,EXPLICIT CONSTRUCTIONS; BOUNDED COMPUTATION; RAMANUJAN GRAPHS; EXPANDERS; SUPERCONCENTRATORS; COMPLEMENTATION; EIGENVALUE; ALGORITHM
117,1391292,Optimal maintenance of a spanning tree,algorithms; performance; distributed algorithms; spanning tree; dynamic networks; amortized complexity; topological changes; leader election; optimal message complexity,ROUTING ALGORITHM; DISTRIBUTED ALGORITHM; NETWORK PROTOCOLS; SHORTEST PATHS; SYSTEMS; COMMUNICATION; ARCHITECTURE; DIAMETER
118,1379761,Matching algorithmic bounds for finding a Brouwer fixed point,algorithms; economics; theory; approximate fixed point; fixed point theorem; Lipschitz function; Sperner's lemma,BISECTION ENVELOPE ALGORITHM; THEOREM; COMPLEXITY
119,1379762,Computing correlated equilibria in multi-player games,algorithms; economics; theory; correlated equilibria; Nash equilibria; complexity of equilibria,COMPUTATIONAL-COMPLEXITY; 1ST-ORDER THEORY; QUANTIFIER ELIMINATION; POLYMATRIX GAMES; CONGESTION GAMES; DECISION PROBLEM; GEOMETRY; REALS; PRELIMINARIES
120,1379760,Beyond separation of duty: An algebra for specifying high-level security policies,security; theory; verification; access control; separation of duty; policy design,SYSTEMS
121,1379763,Homomorphism preservation theorems,theory; finite model theory; first-order logic; homomorphisms; preservation theorems; tree-depth; quantifier-rank; conjunctive queries,ORDER; LOGIC
122,1326557,Bit complexity of breaking and achieving symmetry in chains and rings,algorithms; measurements; performance; distributed computing; communication complexity; communication cost; message complexity; bit complexity; consensus; leader election; processor chain; processor ring; tight bound; lower bounds; symmetric synchronous execution,COMMUNICATION COMPLEXITY; DISTRIBUTED COMPUTATION; LOWER BOUNDS; PROCESSORS
123,1326556,On the minimization of XPath queries,languages; theory; query containment; query minimization; tree pattern matching; XPath expressions,CONTAINMENT; EQUIVALENCE
124,1326558,A formal foundation for XrML,security; languages; digital rights management,TRUST-MANAGEMENT
125,1326555,Towards 3-query locally decodable codes of subexponential length,theory; locally decodable codes; private information retrieval; Mersenne primes,PRIVATE INFORMATION-RETRIEVAL; LOWER BOUNDS; COMMUNICATION COMPLEXITY
126,1326559,Undecidability of bisimilarity by defender's forcing,theory; verification; bisimilarity; pushdown automata; process algebra; undecidability,CONTEXT-FREE PROCESSES; BISIMULATION EQUIVALENCE; PUSHDOWN-AUTOMATA; PETRI NETS; DECIDABILITY; SYSTEMS; CHECKING
127,1346331,Security analysis of cryptographically controlled access to XML documents,security; theory; access control; authorization; encryption; XML,ENCRYPTION
128,1346332,XML data exchange: Consistency and query answering,management; theory; data exchange; consistency; computing certain answers; XML,
129,1346333,XPath satisfiability in the presence of DTDs,algorithms; languages; theory; DTDs; XML; XPath; satisfiability; containment,XML; CONTAINMENT; QUERIES; TYPECHECKING; EXPRESSIONS; CONSTRAINTS
130,1346334,Efficient core computation in data exchange,algorithms; theory; databases; chase; core; complexity; conjunctive queries; constraints; data exchange; data integration; dependencies; query evaluation; tractability; universal solutions,HYPERTREE-WIDTH; COMPLEXITY; QUERIES; DECOMPOSITIONS; DEPENDENCIES; MARSHALS; GRAPH
131,1346336,Minimum-weight triangulation is NP-hard,algorithms; theory; optimal triangulations; PLANAR 1-IN-3-SAT,DELAUNAY; SUBGRAPH
132,1346335,Optimal probabilistic fingerprint codes,design; security; theory; fingerprint codes; collusion attack,TRAITOR; SCHEMES
133,1314693,A testing scenario for probabilistic processes,theory; verification; concurrency theory; probabilistic automata; testing; buttonpushing scenario; observational equivalence; trace distributions; approximation induction principle; CPO; metric spaces,MODEL CHECKING; PREORDERS
134,1314696,Priority sampling for estimation of arbitrary subset sums,measurement; theory; subset sum estimation; weighted sampling; sampling without replacement; reservoir sampling,
135,1314691,On counting homomorphisms to directed acyclic graphs,algorithms; theory; counting; directed acyclic graphs; homomorphisms,COMPLEXITY
136,1314694,Time lower bounds for implementations of multi-writer snapshots,theory; algorithms; distributed computing; lower bound; registers; shared memory; snapshot; wait-free,ATOMIC SNAPSHOTS; SHARED-MEMORY; RANDOMIZED CONSENSUS; COMPOSITE REGISTERS; LATTICE AGREEMENT; SYNCHRONIZATION; COMPLEXITY; ALGORITHMS; EFFICIENT
137,1314695,On specification of read/write shared variables,specification; theory; atomicity; axiom; causality; consistency; defining condition; defining relation; framework; illegality; linear extension; linearization; multiprocessor; nonatomic; operation execution; partial order; shared variable; system execution,CONSISTENCY CONDITIONS; MEMORY CONSISTENCY; COMMUNICATION; DEFINITIONS; PROGRAMS; OBJECTS
