"ID"	"Act.text"	"Predict.text"	"Correct.Top.text"	"Correct.Level.text"	"Correct.in.5.text"	"Act.entity"	"Predict.entity"	"Correct.Top.entity"	"Correct.Level.entity"	"Correct.in.5.entity"
"42"	"ID:1089028"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"D.4 OPERATING SYSTEMS"	"False"	0	FALSE	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"True"	1	TRUE
"43"	"ID:1101822"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	3	TRUE
"44"	"ID:1101823"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"45"	"ID:1101824"	"D.3 PROGRAMMING LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	3	TRUE	"D.3 PROGRAMMING LANGUAGES"	"D.3 PROGRAMMING LANGUAGES"	"True"	1	TRUE
"46"	"ID:1101825"	"F.3 LOGICS AND MEANINGS OF PROGRAMS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	2	TRUE	"F.3 LOGICS AND MEANINGS OF PROGRAMS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"47"	"ID:1120583"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"E.4 CODING AND INFORMATION THEORY"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	2	TRUE
"48"	"ID:1120584"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"49"	"ID:1120585"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"B.8 PERFORMANCE AND RELIABILITY"	"False"	3	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	0	FALSE
"50"	"ID:1120586"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"I.5 PATTERN RECOGNITION"	"False"	0	FALSE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"J.3 LIFE AND MEDICAL SCIENCES"	"False"	0	FALSE
"51"	"ID:1120587"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"E.4 CODING AND INFORMATION THEORY"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"D.2 SOFTWARE ENGINEERING"	"False"	0	FALSE
"52"	"ID:1131344"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE
"53"	"ID:1131345"	"E.1 DATA STRUCTURES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"54"	"ID:1131346"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"G.1 NUMERICAL ANALYSIS"	"False"	0	FALSE
"55"	"ID:1147955"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"H.2 DATABASE MANAGEMENT"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	5	TRUE
"56"	"ID:1147956"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"False"	2	TRUE
"57"	"ID:1147957"	"G.2 DISCRETE MATHEMATICS"	"I.3 COMPUTER GRAPHICS"	"False"	4	TRUE	"G.2 DISCRETE MATHEMATICS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"58"	"ID:1147958"	"D.1 PROGRAMMING TECHNIQUES"	"E.1 DATA STRUCTURES"	"False"	0	FALSE	"D.1 PROGRAMMING TECHNIQUES"	"E.1 DATA STRUCTURES"	"False"	0	FALSE
"59"	"ID:1147959"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"D.3 PROGRAMMING LANGUAGES"	"False"	4	TRUE
"60"	"ID:1147960"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"61"	"ID:1147961"	"D.3 PROGRAMMING LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	7	FALSE	"D.3 PROGRAMMING LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	3	TRUE
"62"	"ID:1147962"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"B.1 CONTROL STRUCTURES AND MICROPROGRAMMING"	"False"	0	FALSE
"63"	"ID:1162350"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"J.3 LIFE AND MEDICAL SCIENCES"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"J.3 LIFE AND MEDICAL SCIENCES"	"False"	0	FALSE
"64"	"ID:1162351"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"E.4 CODING AND INFORMATION THEORY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"E.4 CODING AND INFORMATION THEORY"	"False"	0	FALSE
"65"	"ID:1162352"	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"J.2 PHYSICAL SCIENCES AND ENGINEERING"	"False"	0	FALSE
"66"	"ID:1162353"	"E.1 DATA STRUCTURES"	"H.2 DATABASE MANAGEMENT"	"False"	3	TRUE	"E.1 DATA STRUCTURES"	"E.1 DATA STRUCTURES"	"True"	1	TRUE
"67"	"ID:1183908"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"68"	"ID:1183909"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"I.2 ARTIFICIAL INTELLIGENCE"	"False"	7	FALSE
"69"	"ID:1183910"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.2 DISCRETE MATHEMATICS"	"False"	0	FALSE
"70"	"ID:1183912"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"False"	0	FALSE
"71"	"ID:1183913"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"72"	"ID:1206036"	"D.3 PROGRAMMING LANGUAGES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"D.3 PROGRAMMING LANGUAGES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	5	TRUE
"73"	"ID:1206037"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"D.3 PROGRAMMING LANGUAGES"	"False"	2	TRUE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE
"74"	"ID:1206038"	"C.4 PERFORMANCE OF SYSTEMS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"C.4 PERFORMANCE OF SYSTEMS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"75"	"ID:1206039"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"D.3 PROGRAMMING LANGUAGES"	"False"	3	TRUE
"76"	"ID:1217857"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"False"	4	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.2 DISCRETE MATHEMATICS"	"False"	6	FALSE
"77"	"ID:1217858"	"E.1 DATA STRUCTURES"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"False"	4	TRUE	"E.1 DATA STRUCTURES"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"False"	9	FALSE
"78"	"ID:1217859"	"B.6 LOGIC DESIGN"	"K.3 COMPUTERS AND EDUCATION"	"False"	0	FALSE	"B.6 LOGIC DESIGN"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"79"	"ID:1217860"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"I.2 ARTIFICIAL INTELLIGENCE"	"False"	0	FALSE
"80"	"ID:1219094"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"81"	"ID:1219095"	"D.3 PROGRAMMING LANGUAGES"	"G.2 DISCRETE MATHEMATICS"	"False"	9	FALSE	"D.3 PROGRAMMING LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	3	TRUE
"82"	"ID:1219096"	"F.3 LOGICS AND MEANINGS OF PROGRAMS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	5	TRUE	"F.3 LOGICS AND MEANINGS OF PROGRAMS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"83"	"ID:1219097"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	4	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	0	FALSE
"84"	"ID:1219098"	"F.0 GENERAL"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE	"F.0 GENERAL"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"85"	"ID:1236458"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"False"	5	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE
"86"	"ID:1236460"	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"D.3 PROGRAMMING LANGUAGES"	"False"	0	FALSE
"87"	"ID:1236461"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"E.4 CODING AND INFORMATION THEORY"	"False"	2	TRUE
"88"	"ID:1236462"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"True"	1	TRUE
